,year,freq,tokens,rate,exp_freq,poisson_prob
0,0,0,233468,0.0,0.03552597038737712,0.034902330055807895
1,25,0,52493,0.0,0.00798766753278645,0.007955850886435578
2,50,0,70093,0.0,0.01066579506554399,0.010609117157311942
3,75,0,222474,0.0,0.03385305367742619,0.033286450798174605
4,100,0,664783,0.0,0.10115759406870203,0.09620941037422126
5,125,0,298449,0.0,0.04541389113772472,0.04439811517962178
6,150,0,1651651,0.0,0.2513256828185525,0.22223097570224448
7,175,0,3042930,0.0,0.4630315121166989,0.3706272006734277
8,200,1,7104426,1.407573250815759e-07,1.0810544815362795,0.29402803648175335
9,225,2,9410915,2.12519186497806e-07,1.432024464201189,0.17429345973459331
10,250,2,6902429,2.8975307098414194e-07,1.0503173379434145,0.08978565441128838
11,275,3,11414520,2.6282314105192336e-07,1.7369056980233861,0.09878738513804186
12,300,7,24368097,2.872608394492192e-07,3.7080040623071824,0.03561479895718411
13,325,0,12977674,0.0,1.974765116508618,0.8612060911875081
14,350,3,20380879,1.471967916594765e-07,3.1012837040738614,0.375447183448254
15,375,6,18437688,3.2542041062849095e-07,2.8055954473405285,0.024639081312835542
16,400,0,14144096,0.0,2.152255279748056,0.8837782505751581
17,425,1,19490932,5.130590984566567e-08,2.965863728880965,0.7956947457559658
18,450,1,42910701,2.3304210294770062e-08,6.529564193069688,0.9890095331178764
19,475,2,14176310,1.4108043630535732e-07,2.157157166131025,0.36577728621828265
20,500,3,19394682,1.546815771457351e-07,2.9512177189361974,0.3418402973921322
21,525,5,17923241,2.789674032726559e-07,2.7273139317243627,0.058952171947499576
22,550,7,19921220,3.513841019776901e-07,3.0313390777341,0.01259581032860968
23,575,6,20076824,2.9885204950743205e-07,3.0550167684504186,0.03635864429535507
24,600,1,22429658,4.4583827359293666e-08,3.4130389000076944,0.8546303332382928
25,625,2,19668961,1.0168305280589045e-07,2.992953749706493,0.575229411746728
26,650,2,23160110,8.635537568690304e-08,3.524189105266661,0.6836036123096735
27,675,0,22414398,0.0,3.410716841703724,0.9669824764472026
28,700,1,16970520,5.892571353146515e-08,2.5823418668870732,0.7291865651794611
29,725,10,63832227,1.5666067862554757e-07,9.713116170791434,0.38111809290236653
30,750,6,35587169,1.686000929155112e-07,5.4151691540792966,0.3006900647995384
31,775,1,18004561,5.554148196115418e-08,2.739688098256399,0.7584517146399762
32,800,2,30191974,6.624277034684781e-08,4.594202093051125,0.83674368829863
33,825,4,25937655,1.5421594589025108e-07,3.946837954015129,0.3607781963395744
34,850,3,40749532,7.362047740818226e-08,6.200707022510478,0.8658277356897399
35,875,2,16918711,1.1821231534719164e-07,2.574458281128855,0.4751395847984219
36,900,15,34514985,4.34593843804365e-07,5.252018842114404,0.000120179198784931
37,925,4,12194984,3.280037103779718e-07,1.8556660461328225,0.04056882771008474
38,950,0,17016893,0.0,2.589398276436878,0.9249348050048232
39,975,4,11742796,3.4063437702571004e-07,1.7868582544974494,0.035464113693637445
